ID HPO,Nombre total,Pourcentage,Libellé,Nombre de gene associés,4 premiers Genes,Tous les Genes,Nombre de présence dans les maladies,1 premiers maladies associés,Toutes les maladies associés
HP:0003566,2,0.00539301604422%,Increased serum prostaglandin E2,2,SLC12A1 | KCNJ1 ,SLC12A1 | KCNJ1 ,0,,
HP:0011970,1,0.00269650802211%,Cerebral amyloid angiopathy,1,APOE ,APOE ,2,"Amylose ABeta, type néerlandais ...","Amylose ABeta, type néerlandais | Amylose ACys "
HP:0003565,5,0.0134825401106%,Elevated erythrocyte sedimentation rate,5,MVK | TREX1 | NLRP3 | TNFRSF1A ...,MVK | TREX1 | NLRP3 | TNFRSF1A | MEFV ,25,Syndrome périodique associé au récepteur 1 du facteur de nécrose tumorale ...,Syndrome périodique associé au récepteur 1 du facteur de nécrose tumorale | Gastro-entérite à éosinophiles | Arthrite juvénile idiopathique associée aux enthésopathies | Artérite à cellules géantes | Syndrome de Nakajo-Nishimura | Syndrome de Cogan | Syndrome d'insulino-résistance type B | Fièvre méditerranéenne familiale | Maladie de Kikuchi-Fujimoto | Lupus érythémateux induit par les médicaments | Arthrite juvénile idiopathique oligoarticulaire | Granulomatose avec polyangéite | Arthrite juvénile idiopathique polyarticulaire sans facteur rhumatoïde | Macroglobulinémie de Waldenström | Arthrite juvénile idiopathique systémique | Maladie de Camurati-Engelmann | Connectivite mixte | Arthrite juvénile idiopathique polyarticulaire avec facteur rhumatoïde | Ostéomyélite chronique non-bactérienne/Ostéomyélite multifocale chronique récurrente | Syndrome CINCA | Maladie de Still de l'adulte | Syndrome de Muckle-Wells | Dermatomyosite juvénile | Syndrome de fièvre périodique avec hyperimmunoglobulinémie D | Syndrome de dermatite granulomateuse interstitielle-arthrite 
HP:0011976,2,0.00539301604422%,Elevated urinary catecholamines,2,MYCN | SDHB ,MYCN | SDHB ,1,Neuroblastome ,Neuroblastome 
HP:0003560,9,0.024268572199%,Muscular dystrophy,9,BUB1B | NR0B1 | COL4A1 | PHGDH ...,BUB1B | NR0B1 | COL4A1 | PHGDH | TRIM32 | LMNA | B4GAT1 | PIEZO2 | POMT1 ,17,Syndrome de Marden-Walker ...,Syndrome de Marden-Walker | Myopathie de Bethlem | Syndrome d'aneuploïdie en mosaïque | Dystrophie musculaire des ceintures autosomique récessive type 2K | Syndrome de Neu-Laxova | Dystrophie musculaire des ceintures autosomique dominante type 1B | Myopathie à multi-minicores avec ophtalmoplégie externe | DPM3-CDG | Syndrome de Marinesco-Sjögren | Dystrophie musculaire congénitale type Fukuyama | Dystrophie musculaire des ceintures autosomique récessive type 2I | Dystrophie musculaire des ceintures autosomique récessive type 2D | Dystrophie musculaire des ceintures autosomique récessive type 2A | Dystrophie musculaire des ceintures autosomique récessive type 2S | Aplasie des muscles extenseurs des doigts et pouce-polyneuropathie | Syndrome de Walker-Warburg | Dystrophie musculaire congénitale type 1A 
HP:0003561,2,0.00539301604422%,Birth length less than 3rd percentile,2,TBCE | B3GLCT ,TBCE | B3GLCT ,1,Syndrome d'Ulbright-Hodes ,Syndrome d'Ulbright-Hodes 
HP:0002586,5,0.0134825401106%,Peritonitis,5,MVK | CFB | COL5A1 | TNFRSF1A ...,MVK | CFB | COL5A1 | TNFRSF1A | MEFV ,13,Syndrome périodique associé au récepteur 1 du facteur de nécrose tumorale ...,Syndrome périodique associé au récepteur 1 du facteur de nécrose tumorale | Fibrothécome ovarien | Fièvre méditerranéenne familiale | Mésothéliome péritonéal malin | Polyangéite microscopique | Syndrome de Budd-Chiari | Fibrome ovarien | Papulose atrophiante maligne | Syndrome d'Ehlers-Danlos type 1 | Mésothéliome kystique du péritoine | Syndrome d'Ehlers-Danlos type 2 | Carcinome péritonéal primaire | Syndrome de fièvre périodique avec hyperimmunoglobulinémie D 
HP:0002585,1,0.00269650802211%,Abnormality of the peritoneum,1,WT1 ,WT1 ,7,Sarcome pléomorphe indifférencié ...,Sarcome pléomorphe indifférencié | Dysautonomie familiale | Thymome | Lymphome primitif des séreuses | Tumeur desmoplastique à petites cellules | Lymphome folliculaire | Maladie gélatineuse du péritoine 
HP:0002584,2,0.00539301604422%,Intestinal bleeding,2,CTC1 | STK11 ,CTC1 | STK11 ,5,Polypose adénomateuse familiale due à une microdeletion 5q22.2 ...,Polypose adénomateuse familiale due à une microdeletion 5q22.2 | Adénocarcinome du canal anal | Carcinome épidermoïde du canal anal | Neurofibrome | Angiomatose cutanée et digestive 
HP:0003298,24,0.0647161925307%,Spina bifida occulta,24,SOX11 | B3GLCT | KCNH1 | RIPPLY2 ...,SOX11 | B3GLCT | KCNH1 | RIPPLY2 | FLNB | HES7 | RAB23 | ARID1B | ARID1A | ACTB | RECQL4 | SMARCE1 | MESP2 | IRF6 | CREBBP | DLL3 | PTPN11 | TNXB | BRAF | SALL4 | PORCN | MAFB | AMER1 | LFNG ,34,Syndrome du naevus de Becker ...,Syndrome du naevus de Becker | Syndrome de Poland | Syndrome d'ataxie spinocérébelleuse-dysmorphie | Syndrome de Noonan avec lentigines multiples | Maladie des inclusions intranucléaires neuronales | Syndrome de Duane | Syndrome de Fountain | Syndrome 3MC | Syndrome d'Ehlers-Danlos classique | Syndrome du naevus comédonien | Dysostose spondylo-costale autosomique récessive | Dysostose acrofaciale type Palagonia | Incontinentia pigmenti | Chondrodysplasie ponctuée non rhizomélique | Syndrome de Peters plus | Syndrome cranio-digital-déficience intellectuelle | Syndrome d'Alagille | Syndrome d'acrodysplasie-scoliose | Syndrome de dysplasie du pelvis-pseudoarthrogrypose | Chondrodysplasie ponctuée rhizomélique | Syndrome de mèches blanches-anomalies multiples | Syndrome des ptérygiums multiples autosomique récessif | Syndrome de Dubowitz | Dysostose acro-cranio-faciale | Syndrome d'Ehlers-Danlos par déficit en tenascin-X | Syndrome de Coffin-Siris | Syndrome de Williams | Syndrome isotrétinoïne | Syndrome d'anomalie du développement sexuel-déficience intellectuelle | Hypomélanose d'Ito | Syndrome d'ostéopathie striée-sclérose crânienne | Dysostose cléido-crânienne | Dysostose acrofaciale type Catane | Dysostose spondylo-costale autosomique dominante 
